iter	Passed	Remaining
683	98071	45308
684	98179	45148
685	98275	44983
686	98418	44839
687	98554	44693
688	98703	44552
689	98850	44411
690	99005	44273
691	99163	44136
692	99328	44002
693	99489	43866
694	99623	43719
695	99783	43583
696	99942	43446
697	100098	43309
698	100255	43171
699	100416	43035
700	100579	42900
701	100739	42764
702	100896	42626
703	101059	42490
704	101213	42351
705	101375	42215
706	101536	42079
707	101682	41936
708	101844	41800
709	101999	41661
710	102139	41516
711	102297	41378
712	102446	41237
713	102602	41098
714	102761	40960
715	102928	40826
716	103088	40689
717	103225	40542
718	103375	40401
719	103525	40259
720	103669	40116
721	103828	39978
722	103989	39840
723	104140	39699
724	104292	39559
725	104450	39420
726	104606	39281
727	104750	39137
728	104914	39001
729	105055	38856
730	105202	38713
731	105364	38576
732	105540	38443
733	105712	38309
734	105869	38170
735	106018	38028
736	106142	37877
737	106299	37737
738	106458	37599
739	106621	37461
740	106781	37322
741	106929	37180
742	107087	37041
743	107249	36902
744	107402	36761
745	107554	36620
746	107713	36481
747	107867	36340
748	108008	36195
749	108167	36055
750	108330	35917
751	108476	35774
752	108626	35631
753	108787	35493
754	108929	35348
755	109086	35207
756	109243	35067
757	109406	34929
758	109560	34787
759	109723	34649
760	109875	34507
761	110039	34369
762	110210	34233
763	110358	34089
764	110509	33947
765	110659	33804
766	110813	33663
767	110953	33517
768	111088	33369
769	111245	33229
770	111379	33081
771	111545	32943
772	111692	32799
773	111784	32640
774	111886	32483
775	111992	32327
776	112075	32165
777	112177	32009
778	112291	31856
779	112439	31713
780	112525	31553
781	112626	31397
782	112726	31240
783	112813	31081
784	112914	30925
785	113041	30777
786	113142	30621
787	113260	30471
788	113369	30318
789	113469	30162
790	113570	30007
791	113686	29856
792	113788	29702
793	113888	29547
794	113999	29396
795	114110	29244
796	114205	29088
797	114341	28943
798	114492	28802
799	114639	28659
800	114794	28519
801	114947	28378
802	115106	28239
803	115268	28100
804	115428	27960
805	115591	27822
806	115749	27682
807	115906	27542
808	116064	27402
809	116189	27254
810	116340	27112
811	116460	26963
812	116622	26824
813	116772	26682
814	116923	26540
815	117081	26400
816	117223	26256
817	117386	26117
818	117538	25976
819	117694	25835
820	117861	25696
821	118010	25554
822	118157	25411
823	118320	25272
824	118488	25133
825	118650	24994
826	118803	24852
827	118960	24711
828	119126	24572
829	119284	24431
830	119447	24292
831	119599	24149
832	119756	24008
833	119878	23860
834	120017	23716
835	120177	23575
836	120334	23434
837	120456	23286
838	120614	23145
839	120778	23005
840	120974	22871
841	121127	22729
842	121286	22588
843	121436	22445
844	121564	22298
845	121720	22157
846	121879	22015
847	122039	21874
848	122177	21730
849	122334	21588
850	122484	21445
851	122641	21303
852	122760	21155
853	122927	21015
854	123107	20877
855	123248	20733
856	123399	20590
857	123558	20449
858	123719	20307
859	123876	20165
860	124045	20025
861	124207	19884
862	124356	19741
863	124518	19600
864	124676	19458
865	124828	19315
866	124985	19173
867	125123	19028
868	125283	18886
869	125448	18745
870	125602	18602
871	125763	18460
872	125914	18317
873	126062	18173
874	126217	18031
875	126382	17889
876	126553	17749
877	126720	17608
878	126881	17466
879	127040	17323
880	127210	17182
881	127374	17041
882	127507	16895
883	127627	16747
884	127711	16595
885	127819	16446
886	127921	16296
887	128022	16146
888	128128	15998
889	128233	15849
890	128334	15699
891	128434	15550
892	128533	15400
893	128633	15251
894	128737	15103
895	128844	14955
896	128958	14807
897	129070	14660
898	129173	14512
899	129272	14363
900	129373	14215
901	129502	14070
902	129600	13921
903	129718	13775
904	129831	13628
905	129946	13482
906	130034	13333
907	130135	13185
908	130243	13038
909	130402	12896
910	130541	12753
911	130671	12608
912	130835	12467
913	130999	12326
914	131156	12183
915	131289	12039
916	131451	11897
917	131614	11756
918	131771	11614
919	131934	11472
920	132083	11329
921	132240	11187
922	132391	11044
923	132543	10901
924	132691	10758
925	132845	10616
926	133005	10474
927	133161	10331
928	133317	10188
929	133451	10044
930	133598	9901
931	133764	9759
932	133924	9617
933	134062	9473
934	134227	9331
935	134368	9187
936	134510	9043
937	134666	8901
938	134827	8758
939	134992	8616
940	135150	8473
941	135299	8330
942	135457	8187
943	135618	8045
944	135780	7902
945	135943	7760
946	136063	7614
947	136211	7471
948	136421	7331
949	136554	7187
950	136701	7043
951	136854	6900
952	137000	6756
953	137136	6612
954	137287	6469
955	137455	6326
956	137620	6183
957	137778	6040
958	137933	5897
959	138094	5753
960	138293	5612
961	138405	5467
962	138516	5322
963	138660	5178
964	138809	5034
965	138968	4891
966	139123	4747
967	139282	4604
968	139439	4460
969	139597	4317
970	139752	4173
971	139909	4030
972	140066	3886
973	140222	3743
974	140354	3598
975	140499	3454
976	140659	3311
977	140822	3167
978	140995	3024
979	141157	2880
980	141312	2736
981	141473	2593
982	141619	2449
983	141779	2305
984	141941	2161
985	142091	2017
986	142243	1873
987	142396	1729
988	142556	1585
989	142701	1441
990	142853	1297
991	143016	1153
992	143158	1009
993	143329	865
994	143491	721
995	143611	576
996	143715	432
997	143807	288
998	143907	144
999	144016	0
